method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,py,,1000,1,True,,100,1,1.3972166925668716e-05,3.877095878124237e-05,1.4270655810832977e-05,3.170222043991089e-05,1.7313160933554174e-05,1.3972166925668716e-05,2.473545550203632e-05,100,1.6584526747465134e-05,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,py,,1000,1,True,,100,1,6.321677938103676e-05,0.00010306714102625847,6.339559331536293e-05,8.628983050584793e-05,7.047687657177448e-05,6.321677938103676e-05,8.231033300171979e-05,100,6.88452273607254e-05,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,skl,1.0,10000,1,True,,100,1,0.00012872880324721336,0.0002571200020611286,0.00012882612645626068,0.00013703666627407074,0.00013125243596732617,0.00012872880324721336,0.0001562521535114233,100,0.0001295614056289196,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,onxpython_compiled,,10000,1,True,,100,1,0.0006202459335327148,0.0006907489150762558,0.0006209230050444603,0.000658262986689806,0.0006253629550337791,0.0006202459335327148,0.0006449197733000992,100,0.0006223621312528849,1,4.0,12.0,623.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,onxonnxruntime1,,10000,1,True,,100,1,0.003293215297162533,0.003910826053470373,0.0033148876391351223,0.0034382641315460205,0.0033820613147690893,0.003293215297162533,0.0035020909915153674,100,0.003379998030140996,1,4.0,12.0,623.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,skl,1.0,10000,1,True,,100,1,0.00025861291214823723,0.0003340579569339752,0.000265633687376976,0.00031028687953948975,0.00029999551363289354,0.00028142799444732006,0.000318563032818467,100,0.0003009263891726732,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,onxpython_compiled,,10000,1,True,,100,1,0.0006401478312909603,0.0007001683115959167,0.0006413660012185574,0.0006619230844080448,0.0006482877489179373,0.0006401478312909603,0.0006609160397953485,100,0.0006471697706729174,1,4.0,12.0,623.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,onxonnxruntime1,,10000,1,True,,100,1,0.0030952440574765205,0.00377719197422266,0.003119991160929203,0.0037504988722503185,0.003604745306074619,0.0031591558300498182,0.00377719197422266,100,0.003713146550580859,1,4.0,12.0,623.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,py,,10000,1,True,,100,1,3.467826172709465e-05,6.003677845001221e-05,3.485195338726044e-05,5.517108365893364e-05,4.3158158659935e-05,3.467826172709465e-05,5.422245155773706e-05,100,4.581687971949577e-05,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,py,,10000,1,True,,100,1,0.0003324262797832489,0.00040602032095193863,0.00033289799466729164,0.00034212833270430565,0.00033551509026438,0.0003324262797832489,0.00035035513155217974,100,0.0003341694828122854,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
